Theft,"The unlawful taking or obtaining of money or goods, not involving the use of force, threat of force or violence, coercion or deception, with the intent to permanently or temporarily deprive the owner of the use of the money or goods, or the receiving or handling of money or goods obtained unlawfully."
Transport regulation offences,Offences relating to breaches of transport regulations.
Trend test - 24 month,"The trend test serves as a guide to highlight changes that are statistically significant. The 24 month trend test uses the Kendall's Rank Order Correlation statistical test (or Kendall's tau-b) to determine whether a series is trending upwards, downwards or is stable. For more information on the 24 month trend test please see the Explanatory notes."
Unincorporated Victoria,"Victoria is made up of 79 Local Government Areas (LGAs), in addition to the LGAs there are also small islands (administered by the state) and ski resorts (administered by management boards) which are unincorporated. "
Unique alleged offender,"A unique alleged offender is defined as a person who has been involved in one or more alleged offender incidents within a reference period. One unique alleged offender may be involved in more than one offender incident during the reference period, but will have a count of 1 in the data presented in this section. If there are multiple unique alleged offenders related to a criminal event, each unique offender will be counted once in the published figures."
Unique victims,"A unique victim is defined as a person who has had one or more victim report recorded by Victoria Police within the reference period. One unique victim may have more than one victim report recorded during the reference period, but will have a count of 1 in the data presented in this section. If there are multiple unique victims recorded against a criminal event, each unique victim will be counted once in the published figures."
Victimisation rate ,"Victimisation rates per 100,000 population are calculated using the victim report count for the reference period and the most recent Estimated Resident Population (ERP). "
Victim report,"A victim report is counted when an individual, business or organisation reports to Victoria Police that they have been a victim of one or more criminal offences."
Victim reports related to a family incident,Victim reports relating to a family incident refer to those reports that are linked to offences recorded at the time of a family incident.
Victim type,Victim type defines whether the victim linked to a victim report is a person or organisation.
Victoria Police Risk Assessment and Management Report,"A Victoria Police Risk Assessment and Management Report, also known as an L17 form, is a report that Victoria Police are required to complete after they have attended a family incident. The report is completed when family violence incidents, interfamilial-related sexual offences, and child abuse are reported to police."
Weapons and explosives offences,Offences involving prohibited or regulated weapons and explosives.
Youth offender,A youth offender is an alleged offender between the age of 10 and 17 years at the time they were linked to a recorded offence in LEAP (Law Enforcement Assistance Program).
,
